Year_Month,Card Type,Travel_Mode,Trip
Aug-19,Sgl Trip Rail Adult,Train,210421
Sep-19,Concession,Train,2030930
Oct-19,Concession,Train,2075291
Nov-19,Employee,Train,350623
Nov-19,Sgl Trip Rail Child/Youth,Train,38441
Dec-19,Adult,Train,20632690
Jan-20,Senior/Pensioner,Train,2660591
Feb-20,Employee,Train,314197
Mar-20,Employee,Train,277750
Mar-20,Adult,Train,14771583
Mar-20,Sgl Trip Rail Child/Youth,Train,23918
Apr-20,Senior/Pensioner,Train,617589
Apr-20,Free Travel,Train,6323
May-20,Senior/Pensioner,Train,938107
May-20,CTP,Train,1195199
Jun-20,Child/Youth,Train,380309
Jun-20,Day Pass Child/Youth w/o SAF,Train,11
Jul-20,Adult,Train,9499639
Jul-20,Day Pass without SAF,Train,579
Oct-20,School Student,Train,646636
Nov-20,Concession,Train,837790
Dec-20,Free Travel,Train,18057
Jan-21,Adult,Train,7869191
Jan-21,Free Travel,Train,13909
May-21,Sgl Trip Rail Child/Youth,Train,31491
Jul-21,Sgl Trip Rail Adult,Train,10479
Aug-21,Adult,Train,2672862
Sep-21,Senior/Pensioner,Train,477776
Sep-21,Sgl Trip Rail Adult,Train,8100
Oct-21,Adult,Train,4898487
Oct-21,Concession,Train,377617
Nov-21,CTP,Train,3480234
Nov-21,Free Travel,Train,16182
Dec-21,School Student,Train,387366
Dec-21,Sgl Trip Rail Adult,Train,55444
Jan-22,Child/Youth,Train,505128
Apr-22,Employee,Train,187612
Apr-22,Concession,Train,953331
May-22,Employee,Train,221741
May-22,Sgl Trip Rail Child/Youth,Train,34097
Jun-22,Sgl Trip Rail Adult,Train,96650
Jul-22,Adult,Train,8505857
Jul-22,Child/Youth,Train,657340
Aug-22,CTP,Train,5206540
Aug-22,School Student,Train,896023
Sep-22,Employee,Train,118894
Sep-22,Sgl Trip Rail Adult,Train,76159
Oct-22,Sgl Trip Rail Adult,Train,92735
Oct-22,CTP,Train,6285173
Oct-22,Free Travel,Train,17974
Nov-22,Concession,Train,706517
Dec-22,Employee,Train,205108
Mar-23,Adult,Train,11361473
Apr-23,Free Travel,Train,20247
Apr-23,Day Pass without SAF,Train,724
May-23,CTP,Train,8499972
Jun-23,Child/Youth,Train,699889
Jun-23,Employee,Train,232823
Jul-23,Concession,Train,977222
Aug-23,Employee,Train,244741
Sep-23,Sgl Trip Rail Adult,Train,94539
Sep-23,School Student,Train,786034
Nov-23,Free Travel,Train,24423
Dec-23,CTP,Train,8647726
Jan-24,Sgl Trip Rail Adult,Train,96665
Feb-24,Sgl Trip Rail Child/Youth,Train,41670
Mar-24,CTP,Train,10182369
Mar-24,Child/Youth,Train,673540
Apr-24,Child/Youth,Train,802714
May-24,Sgl Trip Rail Adult,Train,81902
Jun-24,Free Travel,Train,22609
Jun-24,Sgl Trip Rail Adult,Train,81125
Feb-18,Sgl Trip Rail Child/Youth,Train,51872
Mar-18,Day Pass without SAF,Train,32
Jul-19,Day Pass without SAF,Train,797
Oct-19,Sgl Trip Rail Child/Youth,Train,53099
Dec-20,Day Pass Child/Youth w/o SAF,Train,12
May-21,School Student,Train,1070994
Sep-21,CTP,Train,1010138
Nov-21,Day Pass without SAF,Train,507
Dec-21,Day Pass without SAF,Train,601
Apr-23,Employee,Train,189165
Jun-23,Free Travel,Train,22808
Aug-23,Child/Youth,Train,601211
Dec-23,Free Travel,Train,20970
Jan-24,Senior/Pensioner,Train,2159745
Dec-16,Child/Youth,Train,1353758
May-18,Sgl Trip Rail Adult,Train,311005
Jan-22,Senior/Pensioner,Train,1149408
Jun-23,Adult,Train,11125518
Jan-22,School Student,Train,18336
Nov-18,CTP,Train,29061
Jul-19,School Student,Train,646026
Oct-19,School Student,Train,771963
Oct-19,CTP,Train,2485677
Jan-24,Day Pass Child/Youth w/o SAF,Train,19
Jan-23,School Student,Train,46014
Apr-19,Day Pass Child/Youth w/o SAF,Train,23
Apr-18,Day Pass Child/Youth w/o SAF,Train,6
Sep-19,Senior/Pensioner,Metro,127687
Nov-19,Employee,Metro,9411
Jun-20,Sgl Trip Rail Adult,Metro,1921
Oct-20,Employee,Metro,6414
Dec-20,CTP,Metro,215788
Jan-21,Adult,Metro,489531
Feb-21,Concession,Metro,104930
Feb-21,Adult,Metro,642411
Sep-21,Concession,Metro,11143
Oct-21,Free Travel,Metro,569
Feb-22,School Student,Metro,107578
Feb-22,Concession,Metro,90031
Mar-22,CTP,Metro,298153
May-22,Senior/Pensioner,Metro,106441
Jul-22,Employee,Metro,7928
Jul-22,Child/Youth,Metro,113396
Jul-22,Sgl Trip Rail Child/Youth,Metro,5458
Aug-22,Free Travel,Metro,1041
Sep-22,CTP,Metro,397176
Nov-22,Concession,Metro,96744
Jul-23,Sgl Trip Rail Child/Youth,Metro,7864
Aug-23,School Student,Metro,177958
Nov-23,Adult,Metro,854398
Dec-23,Sgl Trip Rail Adult,Metro,5328
Dec-23,CTP,Metro,495827
Dec-23,School Student,Metro,67107
Mar-24,Adult,Metro,806511
Apr-24,CTP,Metro,582706
May-24,Free Travel,Metro,1741
May-24,Employee,Metro,10796
Feb-20,Senior/Pensioner,Metro,107389
Sep-20,School Student,Metro,80811
Sep-20,Sgl Trip Rail Adult,Metro,1676
Nov-20,Senior/Pensioner,Metro,81964
Nov-20,Free Travel,Metro,1081
Dec-20,Child/Youth,Metro,94959
Apr-21,Free Travel,Metro,1412
Jun-21,Sgl Trip Rail Child/Youth,Metro,2771
Jun-21,Adult,Metro,617927
Nov-21,CTP,Metro,216940
Dec-22,Child/Youth,Metro,126355
Feb-23,Free Travel,Metro,1186
Apr-23,Employee,Metro,7441
Jun-23,Day Pass without SAF,Metro,12
Jul-23,CTP,Metro,569571
Feb-24,Adult,Metro,816646
Aug-19,Concession,Metro,251912.4727
Jan-20,Sgl Trip Rail Child/Youth,Metro,6226
Apr-20,Child/Youth,Metro,5426
Jun-20,Free Travel,Metro,734
Jul-20,Child/Youth,Metro,89378
Aug-20,Sgl Trip Rail Adult,Metro,1613
Aug-21,CTP,Metro,44113
Sep-21,CTP,Metro,47090
Sep-21,Sgl Trip Rail Child/Youth,Metro,634
Feb-22,Free Travel,Metro,815
