Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,067105,2022,08,24.6,N
IDCJAC0001,067105,2022,09,87.4,N
IDCJAC0001,067105,2022,10,117.8,N
IDCJAC0001,067105,2022,11,40.0,N
IDCJAC0001,067105,2022,12,15.6,N
IDCJAC0001,067105,2023,01,114.0,N
IDCJAC0001,067105,2023,02,98.4,N
IDCJAC0001,067105,2023,03,55.6,Y
IDCJAC0001,067105,2023,04,72.2,Y
IDCJAC0001,067105,2023,05,11.0,Y
IDCJAC0001,067105,2023,06,16.0,N
IDCJAC0001,067105,2023,07,7.2,N
IDCJAC0001,067105,2023,08,36.8,N
IDCJAC0001,067105,2023,09,8.4,N
IDCJAC0001,067105,2023,10,18.2,N
IDCJAC0001,067105,2023,11,88.6,N
IDCJAC0001,067105,2023,12,5.6,N
IDCJAC0001,067105,2024,01,149.2,N
IDCJAC0001,067105,2024,02,95.0,N
IDCJAC0001,067105,2024,03,21.0,N
IDCJAC0001,067105,2024,04,221.0,N
IDCJAC0001,067105,2024,05,49.6,N
IDCJAC0001,067105,2024,06,92.8,Y
IDCJAC0001,067105,2024,07,33.2,N
IDCJAC0001,067105,2024,08,15.4,N
IDCJAC0001,067105,2024,09,39.6,N
IDCJAC0001,067105,2024,12,24.6,N
IDCJAC0001,067105,2025,01,37.2,N
IDCJAC0001,067105,2025,02,52.0,N
IDCJAC0001,067105,2025,04,82.2,N
IDCJAC0001,067105,2025,05,269.2,Y
IDCJAC0001,067105,2025,06,3.2,N
